t,x,y,mannual_dxdt,manual_dydt
0,25,31,,
0.015758,25.0023,31.001944,0.146565128,0.123925115
0.031515,25.009238,31.007811,0.294685071,0.249278122
0.047273,25.020874,31.017656,0.444708869,0.376360463
0.06303,25.037268,31.031533,0.596620657,0.505156275
0.078788,25.058479,31.049496,0.750388704,0.635665556
0.094545,25.084565,31.071599,0.906028875,0.767904173
0.110303,25.115586,31.097897,1.063539155,0.901827643
0.126061,25.151602,31.128443,1.222989053,1.037521815
0.141818,25.192671,31.163292,1.384277328,1.174900841
0.157576,25.238853,31.202497,1.547469459,1.313993337
0.173333,25.290208,31.246113,1.712533714,1.454815167
0.189091,25.346794,31.294194,1.879454228,1.597366333
0.204848,25.40867,31.346795,2.048278597,1.741615104
0.220606,25.475897,31.403968,2.218920548,1.887533316
0.236364,25.548533,31.46577,2.391559575,2.035284785
0.252121,25.626637,31.532252,2.566032048,2.18468983
0.267879,25.71027,31.603471,2.742376646,2.335824211
0.283636,25.799489,31.679479,2.920593368,2.488672061
0.299394,25.894355,31.760332,3.100599695,2.643149511
0.315152,25.994926,31.846082,3.282674917,2.799508171
0.330909,26.101262,31.936785,3.466539743,2.957512296
0.346667,26.213422,32.032494,3.652292559,3.117229891
0.362424,26.331466,32.133264,3.8399175,3.278676821
0.378182,26.455452,32.239149,4.029414564,3.441821355
0.393939,26.58544,32.350202,4.220815485,3.606695224
0.409697,26.72149,32.466479,4.413948471,3.773162838
0.425455,26.86366,32.588032,4.609217833,3.941583373
0.441212,27.012009,32.714917,4.806250992,4.111613517
0.45697,27.166598,32.847187,5.00517214,4.283357132
0.472727,27.327485,32.984897,5.205949548,4.456830081
0.488485,27.494729,33.128101,5.408630811,4.632000635
0.504242,27.668391,33.276852,5.613184198,4.808900524
0.52,27.848528,33.431206,5.819425054,4.987371494
0.535758,28.035201,33.591216,6.027923211,5.167856576
0.551515,28.228468,33.756936,6.238108837,5.349896875
0.567273,28.428389,33.92842,6.450198318,5.533666508
0.58303,28.635024,34.105723,6.664159924,5.719165477
0.598788,28.848431,34.288899,6.879977788,5.90636205
0.614545,29.068669,34.478001,7.097699508,6.095287958
0.630303,29.295799,34.673085,7.317061175,6.285727884
0.646061,29.529878,34.874203,7.538775186,6.478280184
0.661818,29.770968,35.081411,7.762129145,6.672362367
0.677576,30.019125,35.294762,7.987355228,6.86815802
0.693333,30.274411,35.514311,8.214501031,7.065683008
0.709091,30.536885,35.740112,8.443503094,7.264905601
0.724848,30.806605,35.972218,8.674361415,7.465857528
0.740606,31.08363,36.210685,8.90684097,7.668279604
0.756364,31.368021,36.455565,9.141773759,7.872901793
0.772121,31.659836,36.706914,9.37829605,8.079025861
0.787879,31.959135,36.964786,10.45208631,9.015675075
0.803636,32.318631,37.275172,13.81932413,11.96937966
0.819394,32.830167,37.719216,18.80311588,16.37723696
0.835152,33.503829,38.307462,24.08832302,21.10352213
0.850909,34.348454,39.049371,29.65338728,26.12949389
0.866667,35.372882,39.954404,35.49890528,31.45565604
0.882424,36.58595,41.032021,41.62484531,37.08200857
0.898182,37.996496,42.291683,48.03125496,43.00856735
0.913939,39.61336,43.742851,54.71810249,49.23533238
0.929697,41.445378,45.394986,61.68343064,55.76051847
0.945455,43.50139,47.257548,68.93314295,62.5894336
0.961212,45.790234,49.339998,76.46133587,69.71678566
0.97697,48.320748,51.651797,84.26996668,77.14434396
0.992727,51.10177,54.202406,92.35903538,84.87210852
1.008485,54.142138,57.001286,100.7285737,92.90006346
1.024242,57.450692,60.057897,109.3785499,101.2282088
1.04,61.036268,63.3817,118.3052101,109.8530588
1.055758,64.907706,66.982155,165.6683167,161.2782643
1.071515,71.478342,73.547069,321.0789148,332.6814374
1.087273,85.14531,87.951066,492.3597176,520.6674917
1.10303,102.511775,106.364741,549.9537363,580.5598287
1.118788,119.808894,124.543752,490.8990322,509.2923211
1.134545,133.453141,138.465436,384.4671585,388.1031414
1.150303,144.041859,149.005893,309.903906,306.4147893
1.166061,152.987004,157.779373,268.2000635,261.1626527
1.181818,160.946509,165.466975,247.363208,237.5126924
1.197576,168.578307,172.749798,247.4031731,235.4746311
1.213333,176.540331,180.308941,268.3199905,255.048469
1.229091,185.490516,188.825503,310.1136602,296.2341901
1.244848,196.086795,198.980582,372.7841345,359.0318261
1.260606,208.9871,211.455279,456.3169819,443.4272909
1.276364,224.849367,226.930691,638.3239568,697.7137554
1.292121,249.220659,255.432177,1026.390528,1241.195272
1.307879,289.542762,305.163229,1416.952515,1520.736951
1.323636,338.531176,351.284227,1690.651769,1119.466365
1.339394,396.104543,375.723194,2103.128808,669.3872636
1.355152,471.095591,393.477045,2024.915056,402.1511185
1.370909,523.734939,401.070779,1249.984626,137.0384896
1.386667,549.882122,402.114581,729.9101539,28.39314612
1.402424,569.741176,402.860399,556.609202,20.05032524
1.418182,584.9652,403.378353,435.7625575,13.93254006
1.433939,597.20729,403.738567,367.3702047,10.03983817
1.449697,608.120544,404.011164,351.4210401,8.371922198
1.465455,619.358061,404.266266,387.9484848,8.929620815
1.481212,632.572937,404.573998,476.9190703,11.71212121
1.49697,649.41827,405.004481,618.3439949,16.71965731
1.512727,671.547159,405.627838,863.4399492,25.20826591
1.528485,703.84089,406.593358,1366.188561,40.41175631
1.544242,757.658024,408.174991,1842.917817,54.04794542
1.56,820,410,,
