t,x(t),y(t),dx(t),dy(t),dy/dx
0,-0.1,0.3,0.35,-0.05,-0.142857143
0.101010101,-0.065828613,0.293357088,0.326271394,-0.080849932,-0.247799632
0.202020202,-0.034138903,0.283765928,0.30083538,-0.107744061,-0.358149568
0.303030303,-0.005075297,0.271641258,0.274178906,-0.130745332,-0.476861382
0.404040404,0.021257673,0.257400942,0.246772105,-0.149958144,-0.607678667
0.505050505,0.0447964,0.241434775,0.219036575,-0.165513788,-0.755644522
0.606060606,0.065518205,0.224104483,0.191345381,-0.177570447,-0.928010105
0.707070707,0.083441335,0.205743723,0.164023056,-0.186313196,-1.135896384
0.808080808,0.098624962,0.186658082,0.137345601,-0.191954003,-1.39759848
0.909090909,0.111169157,0.167125081,0.111540502,-0.194731698,-1.745838452
1.01010101,0.121164968,0.147410811,0.086828327,-0.194870373,-2.244317963
1.111111111,0.12872271,0.127789985,0.06342863,-0.192617703,-3.036762789
1.212121212,0.133998605,0.108508295,0.041508992,-0.188252753,-4.535228246
1.313131313,0.137153332,0.089778541,0.021201875,-0.182042603,-8.586155839
1.414141414,0.138352028,0.071780637,0.002604623,-0.174242346,-66.89735118
1.515151515,0.137764287,0.054661603,-0.014220541,-0.165095089,11.60962108
1.616161616,0.135564162,0.038535573,-0.029246508,-0.154831948,5.294031964
1.717171717,0.131930162,0.02348379,-0.042481292,-0.143672057,3.38200774
1.818181818,0.127039961,0.00956795,-0.05395203,-0.131823936,2.443354498
1.919191919,0.121067041,-0.003130329,-0.06366385,-0.119501876,1.877075868
2.02020202,0.114200652,-0.01457184,-0.071672166,-0.106914732,1.491719004
2.121212121,0.10661837,-0.024737072,-0.078046257,-0.094249835,1.207615049
2.222222222,0.098484151,-0.033623031,-0.082865107,-0.081672635,0.985609483
2.323232323,0.089948329,-0.041243241,-0.086217406,-0.069326709,0.804091799
2.424242424,0.081147624,-0.04762774,-0.088201552,-0.057333754,0.650031129
2.525252525,0.072205133,-0.052823082,-0.088925649,-0.045793592,0.51496495
2.626262626,0.06323315,-0.056884287,-0.088500862,-0.034791007,0.393114894
2.727272727,0.054348195,-0.059859923,-0.087034021,-0.024418234,0.280559643
2.828282828,0.045657143,-0.061824421,-0.084652993,-0.014744933,0.17418088
2.929292929,0.037252171,-0.062854994,-0.08148108,-0.005824674,0.07148499
3.03030303,0.029210993,-0.063029688,-0.077635185,0.002303851,-0.029675346
3.131313131,0.021596858,-0.06242738,-0.073225809,0.009616832,-0.131331186
3.232323232,0.01445855,-0.061127778,-0.068357053,0.016105339,-0.235606112
3.333333333,0.007830389,-0.059211421,-0.063126615,0.021775322,-0.344946766
3.434343434,0.001733892,-0.056759071,-0.057626017,0.026645644,-0.462389129
3.535353535,-0.003801198,-0.053848075,-0.051947476,0.030725236,-0.591467342
3.636363636,-0.00875887,-0.050562521,-0.046183086,0.034040131,-0.737069211
3.737373737,-0.013134373,-0.046982702,-0.040415515,0.036625724,-0.906229291
3.838383838,-0.016929747,-0.043182415,-0.034717541,0.038520954,-1.109553052
3.939393939,-0.020153823,-0.039228956,-0.029152045,0.039768301,-1.364168511
4.04040404,-0.022822227,-0.035183126,-0.023772013,0.04041379,-1.70005755
4.141414141,-0.024957373,-0.031099225,-0.018620538,0.040506985,-2.175392797
4.242424242,-0.026587364,-0.027025468,-0.013731786,0.040100098,-2.920239148
4.343434343,-0.027736109,-0.023010888,-0.009142834,0.039241553,-4.292055859
4.444444444,-0.028437567,-0.019101909,-0.004883126,0.037988521,-7.779550439
4.545454545,-0.028728548,-0.015338216,-0.000973942,0.036397656,-37.37146992
4.646464646,-0.028645767,-0.011753138,0.002569746,0.034522336,13.43414462
4.747474747,-0.028225847,-0.008373644,0.00573928,0.032412668,5.647514927
4.848484848,-0.027505313,-0.005220344,0.008532312,0.030115485,3.52958071
4.949494949,-0.026520598,-0.002307492,0.010952807,0.027674344,2.526689659
5.050505051,-0.025308023,0.00035697,0.013010981,0.025129538,1.931409913
5.151515152,-0.023902374,0.002763663,0.01471485,0.022520543,1.530463589
5.252525253,-0.022340614,0.00490566,0.016075967,0.019887784,1.237112714
5.353535354,-0.020658968,0.006782659,0.017112143,0.017267639,1.009086838
5.454545455,-0.018890589,0.008397131,0.017842426,0.014692024,0.823431979
5.555555556,-0.017065553,0.009754321,0.018287097,0.012188393,0.666502337
5.656565657,-0.015210861,0.010862247,0.018467677,0.009779738,0.529559718
5.757575758,-0.013350438,0.011731701,0.01840692,0.007484588,0.406618152
5.858585859,-0.011505141,0.012376231,0.018128801,0.005317026,0.293291657
5.95959596,-0.009695171,0.01280833,0.017655916,0.003291006,0.186396813
6.060606061,-0.007940724,0.01304279,0.017013152,0.001419329,0.083425387
6.161616162,-0.006258805,0.01309712,0.016226522,-0.000289755,-0.017856847
6.262626263,-0.004663642,0.012988574,0.015320395,-0.001830645,-0.119490705
6.363636364,-0.00316668,0.012734153,0.014317493,-0.003200397,-0.22353053
6.464646465,-0.001776583,0.012350604,0.013238896,-0.004398719,-0.332257257
6.565656566,-0.000499235,0.011854418,0.012104035,-0.005427973,-0.448443298
6.666666667,0.00066226,0.011261831,0.010930701,-0.006293175,-0.575733924
6.767676768,0.001705895,0.010588531,0.009735583,-0.007000161,-0.719028418
6.868686869,0.002628525,0.009850459,0.008536196,-0.007553754,-0.884908711
6.96969697,0.003430768,0.009063962,0.007348578,-0.007962749,-1.083576813
7.070707071,0.00411447,0.008243978,0.006186743,-0.008236459,-1.331307689
7.171717172,0.004682579,0.007403985,0.005062696,-0.008384571,-1.656147578
7.272727273,0.005139146,0.006556006,0.003986433,-0.008417149,-2.111448911
7.373737374,0.005489326,0.005710606,0.002965943,-0.008344629,-2.813482977
7.474747475,0.005739376,0.004876894,0.002007206,-0.008177823,-4.074232951
7.575757576,0.005896137,0.004062859,0.001114791,-0.007927567,-7.11125799
7.676767677,0.005965701,0.003277122,0.000294271,-0.007604262,-25.84099403
7.777777778,0.005956222,0.002527027,-0.000451084,-0.007219736,16.00531921
7.878787879,0.005875871,0.001818628,-0.001119307,-0.006785185,6.06194948
7.97979798,0.005732594,0.00115678,-0.001709517,-0.006310984,3.691675692
8.080808081,0.005534107,0.00054514,-0.002221913,-0.005806677,2.61336842
8.181818182,0.005287898,-1.38E-05,-0.002657777,-0.005280985,1.986993396
8.282828283,0.005001228,-0.000518859,-0.003019474,-0.004741799,1.570405711
8.383838384,0.004681117,-0.000969832,-0.003310391,-0.004196201,1.267584904
8.484848485,0.004334304,-0.001365981,-0.003533134,-0.003651313,1.033449004
8.585858586,0.003967982,-0.001707481,-0.003691472,-0.003114241,0.843631261
8.686868687,0.003588938,-0.001995557,-0.003790026,-0.00259116,0.683678678
8.787878788,0.003203272,-0.002231841,-0.003833477,-0.002087352,0.544506165
8.888888889,0.002816393,-0.002418372,-0.003826569,-0.001607207,0.420012612
8.98989899,0.002433024,-0.002557598,-0.00377411,-0.001154225,0.305827118
9.090909091,0.002057198,-0.002652372,-0.003680971,-0.000731013,0.198592303
9.191919192,0.00169226,-0.002705953,-0.003552084,-0.000339283,0.095516737
9.292929293,0.00134126,-0.00272166,-0.00339229,1.96E-05,-0.005769108
9.393939394,0.001007592,-0.002702662,-0.003206457,0.000343739,-0.107202143
9.494949495,0.000693765,-0.002652783,-0.002999666,0.000632626,-0.21089884
9.595959596,0.000401779,-0.002575735,-0.002776624,0.000886088,-0.319124332
9.696969697,0.000133141,-0.002475085,-0.002541656,0.001104402,-0.43452071
9.797979798,-0.000111131,-0.002354261,-0.002298696,0.001288262,-0.560431525
9.898989899,-0.000330507,-0.002216547,-0.002051294,0.00143878,-0.701401366
10,-0.000524947,-0.002065086,-0.001802613,0.00155749,-0.86401829
