Time,Female,Male
1971.0,5500.0,5600.0
1972.0,5681.653747331685,5782.101310233848
1973.0,5866.95941112589,5968.272256798139
1974.0,6055.845939031843,6158.484915808985
1975.0,6248.23253743476,6352.703285449036
1976.0,6444.008317769383,6550.881431489056
1977.0,6643.054139392394,6752.964352263413
1978.0,6845.243107570142,6958.8880037859135
1979.0,7050.440573478647,7168.579299749796
1980.0,7258.504134203601,7381.956111527731
1981.0,7469.283632740364,7598.9272681718285
1982.0,7682.621157993967,7819.392556413627
1983.0,7898.351044779112,8043.242720664102
1984.0,8116.299873820171,8270.359463013661
1985.0,8336.286471751184,8500.61544323215
1986.0,8558.121911115864,8733.874278768839
1987.0,8781.609510367594,8969.990544752445
1988.0,9006.544833869424,9208.809773991108
1989.0,9232.715691894078,9450.16845697241
1990.0,9459.902140623948,9693.894041863361
1991.0,9687.876482151096,9939.804934510408
1992.0,9916.403264477256,10187.71049843943
1993.0,10145.23928151383,10437.411054855742
1994.0,10374.187273567743,10688.767867787423
1995.0,10603.049923026208,10941.620360986959
1996.0,10831.571865309616,11195.715220430006
1997.0,11059.506276494727,11450.80387576047
1998.0,11286.614954257144,11706.642613003112
1999.0,11512.668317871306,11962.992574563548
2000.0,11737.445408210493,12219.61975922825
2001.0,11960.733887746816,12476.29502216454
2002.0,12182.33004055123,12732.794074920599
2003.0,12402.038772293527,12988.897485425463
2004.0,12619.673610242335,13244.390677989017
2005.0,12835.056703265122,13499.063933302006
2006.0,13048.018821828191,13752.712388436028
2007.0,13258.399357996686,14005.136036843534
2008.0,13466.046325434589,14256.139728357834
2009.0,13670.816359404718,14505.533169193088
2010.0,13872.57471676873,14753.130921944308
2011.0,14071.195275987118,14998.752405587371
2012.0,14266.560537119218,15242.221895478999
2013.0,14458.561621823197,15483.368523356774
2014.0,14647.098273356065,15722.026277339126
2015.0,14832.07885657367,15958.034001925349
2016.0,15013.420357930692,16191.235397995584
2017.0,15191.048385480659,16421.479022810832
2018.0,15364.897168875927,16648.618290012942
2019.0,15534.909559367698,16872.51146962462
2020.0,15701.037029806004,17093.021688049434
2021.0,15863.239674639724,17310.016928071796
2022.0,16021.486209916566,17523.37002885698
2023.0,16175.753973283081,17732.958685951107
