t,x,y,dxdt,dydt,ori_x,ori_y,ori_dxdt,ori_dydt
0,0,0,0,0,5506.6,5653.3,142.6,137.2
1,0,0,0,0,5649.8,5791.4,142.7,137.4
2,0,0,0,0,5792,5928,142.7,137.5
3,0,0,0,0,5935.1,6066.3,147.5,142.5
4,0.1,0,0,0,6087,6212.9,149.4,144.1
5,0.1,0.1,0,0,6233.8,6354.5,152.9,147.7
6,0.1,0.1,0,0,6392.7,6508.3,155.4,150.7
7,0.1,0.1,0,0,6544.5,6655.8,156.6,152.1
8,0.1,0.1,0,0,6705.8,6812.5,171.4,168.1
9,0.1,0.1,0,0,6887.2,6992,181.3,188.1
10,0.1,0.1,0,0,7068.3,7188.6,185,201.1
11,0.2,0.1,0,0,7257.1,7394.1,189.7,206
12,0.2,0.2,0,0,7447.7,7600.6,191.6,208.1
13,0.2,0.2,0,0,7640.2,7810.2,201,216.3
14,0.2,0.2,0,0,7849.6,8033.1,212.6,226.9
15,0.2,0.2,0,0,8065.4,8264,214.6,230.8
16,0.3,0.2,0,0,8278.7,8494.7,213.9,231
17,0.3,0.3,0,0,8493.1,8726,213.4,230.8
18,0.3,0.3,0,0,8705.5,8956.4,212.1,229.6
19,0.3,0.3,0,0,8917.2,9185.2,212.6,230
20,0.3,0.3,0,0,9130.7,9416.4,231.7,250.9
21,0.4,0.3,0,0,9380.5,9687,253.7,273.6
22,0.4,0.4,0,0,9638.1,9963.5,259.2,278
23,0.4,0.4,0,0,9898.9,10243,261.1,279.1
24,0.4,0.4,0,0,10160.3,10521.6,261.7,278.6
25,0.5,0.4,0,0,10422.3,10800.1,263.6,280.2
26,0.5,0.5,0,0,10687.4,11082,269.7,286
27,0.5,0.5,0,0,10961.6,11372,277.7,292.4
28,0.6,0.5,0,0,11242.7,11666.7,283.9,296.8
29,0.6,0.5,0,0,11529.4,11965.6,265.2,295.3
30,0.6,0.6,0,0,11773.1,12257.4,238.1,285.8
31,0.6,0.6,0,0,12005.5,12537.1,228.4,275.4
32,0.6,0.6,0,0,12229.9,12808.1,228.7,270.8
33,0.7,0.6,0,0,12462.8,13078.8,231.3,272.6
34,0.7,0.6,0,0,12692.4,13353.3,229.8,274.3
35,0.7,0.7,0,0,12922.4,13627.4,231.2,275.2
36,0.7,0.7,0,0,13154.8,13903.6,233.1,275.9
37,0.8,0.7,0,0,13388.5,14179.1,234.9,276.7
38,0.8,0.7,0,0,13624.5,14457,234.8,275.7
39,0.8,0.8,0,0,13858.1,14730.5,228.8,261.5
40,0.8,0.8,0,0,14082,14980,218.3,242.4
41,0.8,0.8,0,0,14294.7,15215.3,263.6,312.4
42,0.9,0.8,0,0,14609.2,15604.7,273,326.4
43,0.9,0.9,0,0,14840.8,15868,232.5,253.8
44,0.9,0.9,0,0,15074.1,16112.2,223.2,239.2
45,0.9,0.9,0,0,15287.1,16346.3,202.9,215.4
46,1,0.9,0,0,15479.9,16542.9,186.9,187.5
47,1,0.9,0,0,15660.9,16721.3,139.1,110.9
48,1,0.9,0,0,15758.1,16764.7,-89.8,122.5
49,1,0.9,0,0,15481.2,16966.2,-91.1,117.9
50,1,0.9,0,0,15575.9,17000.5,88.5,36.8
51,1,1,0,0,15658.3,17039.8,176.8,236
52,1,1,0,0,15929.5,17472.4,258.9,421.6
